"name","win","lose","draw","rate"
usr_1,47,18,4,380,
yanki-,10,3,4,85
usr_2,16,46,1,0
usr_3,0,0,0,0
usr_4,0,0,0,0
usr_6,0,0,0,0
usr_7,8,0,0,80,
usr_8,0,8,0,0
lyj,0,0,0,0
lll,0,0,0,0
lyjh,0,0,0,0
lyjhhhh,0,0,0,0
pll,0,0,0,0
tester,0,0,0,0
